text,intent
Bye,salam_perpisahan
Bagaimana kualitas produk ini?,informasi_produk
Berapa umurmu?,umur_bot
Apa tujuan kamu?,siapa_anda
Bagaimana kondisi cuaca di Bandung?,informasi_cuaca
Thanks,terima_kasih
Berikan rekomendasi film lucu,hiburan
Kamu tinggal di mana?,lokasi_bot
Kenapa kamu dibuat?,siapa_anda
Selamat sore,sapaan
Tunjukkan cara penggunaannya,tutorial_produk
Bagaimana cara menggunakannya?,tutorial_produk
Kenapa kamu dibuat?,siapa_anda
Komputer saya tidak menyala,bantuan_teknis
Kapan produk ini tersedia?,informasi_produk
Apa film terbaik tahun ini?,hiburan
Apa lokasi kamu sekarang?,lokasi_bot
Bagaimana cara kerja teknologi 5G?,informasi_teknologi
Tolong bantu saya dengan tugas ini,bantuan
Apa fungsi kamu?,fungsi_bot
Thank you,terima_kasih
Promo apa yang berlaku sekarang?,promo
Kamu bisa menyanyi?,kemampuan_bot
Apa kamu bisa main game?,kemampuan_bot
Bantu aku dong,bantuan
Selamat sore,sapaan
Selamat pagi,sapaan
Kenapa kamu dibuat?,siapa_anda
Bagaimana cara kerja kamu?,fungsi_bot
Bagaimana cara kerja teknologi 5G?,informasi_teknologi
Apa kegunaan kamu?,fungsi_bot
Apa arti kata ini?,kamus
Kamu bisa melakukan apa?,pekerjaan_bot
Saya butuh bantuan,bantuan
Tunjukkan arah ke Jakarta,panduan_lokasi
Aplikasi ini tidak berfungsi,bantuan_teknis
Cari sinonim dari 'cepat',kamus
Apa kamu punya nama?,siapa_anda
Ada panduan untuk produk ini?,tutorial_produk
Hai,sapaan
Apa arti kata ini?,kamus
Dimana kamu tinggal?,lokasi_bot
Promo apa yang berlaku sekarang?,promo
Selamat sore,sapaan
Apa arti kata ini?,kamus
Ada panduan untuk produk ini?,tutorial_produk
Bagaimana cara kerja kamu?,fungsi_bot
Apa kamu bisa membantu saya?,bantuan
Apa kamu bisa main game?,kemampuan_bot
Bagaimana kondisi cuaca di Bandung?,informasi_cuaca
Selamat siang,sapaan
Ada panduan untuk produk ini?,tutorial_produk
Bagaimana cara kerja teknologi 5G?,informasi_teknologi
Apa itu AI?,informasi_teknologi
Bagaimana kualitas produk ini?,informasi_produk
Ceritakan berita terbaru,informasi_berita
Halo,sapaan
Apa itu AI?,informasi_teknologi
Berita apa yang sedang trending?,informasi_berita
Kamu siapa?,siapa_anda
Apa fungsi kamu?,fungsi_bot
Kamu tahu cara menggambar?,kemampuan_bot
Ceritakan tentang dirimu,siapa_anda
Sampai nanti,salam_perpisahan
Apakah hari ini akan hujan?,informasi_cuaca
Apa arti kata ini?,kamus
Ada promo apa hari ini?,promo
Thank you,terima_kasih
Apa arti kata ini?,kamus
Dimana lokasi restoran terdekat?,panduan_lokasi
Ceritakan sebuah lelucon,hiburan
Bagaimana cara kerja teknologi 5G?,informasi_teknologi
Berita apa yang sedang trending?,informasi_berita
Kamu bisa menyanyi?,kemampuan_bot
Apa pekerjaanmu?,pekerjaan_bot
Promo apa yang berlaku sekarang?,promo
Apa saja fitur produk ini?,informasi_produk
Ada panduan untuk produk ini?,tutorial_produk
Thanks,terima_kasih
Kamu bisa menyanyi?,kemampuan_bot
Dimana lokasi restoran terdekat?,panduan_lokasi
Apa film terbaik tahun ini?,hiburan
Siapa nama kamu?,siapa_anda
Kamu tahu cara menggambar?,kemampuan_bot
Apa fungsi kamu?,fungsi_bot
Berapa tahun kamu sudah ada?,umur_bot
Siapa nama kamu?,siapa_anda
Thank you,terima_kasih
Thank you,terima_kasih
Cari sinonim dari 'cepat',kamus
Ceritakan tentang cuaca hari ini,informasi_cuaca
Thank you,terima_kasih
Apa film terbaik tahun ini?,hiburan
Dimana kamu tinggal?,lokasi_bot
Dimana lokasi restoran terdekat?,panduan_lokasi
Berapa umurmu?,umur_bot
Berapa umurmu?,umur_bot
Dimana kamu tinggal?,lokasi_bot
Berapa umurmu?,umur_bot
Kapan kamu dibuat?,umur_bot
Hai,sapaan
Ceritakan tentang cuaca hari ini,informasi_cuaca
Komputer saya tidak menyala,bantuan_teknis
Bagaimana cara memperbaiki ini?,bantuan_teknis
Apa kamu punya nama?,siapa_anda
Ceritakan berita terbaru,informasi_berita
Berapa tahun kamu sudah ada?,umur_bot
Berikan rekomendasi film lucu,hiburan
Sejak kapan kamu aktif?,umur_bot
Apa kegunaan kamu?,fungsi_bot
Berapa harga produk ini?,informasi_produk
Siapa nama kamu?,siapa_anda
Ceritakan tentang dirimu,siapa_anda
Apa lokasi kamu sekarang?,lokasi_bot
Dimana kamu tinggal?,lokasi_bot
Apa kegunaan kamu?,fungsi_bot
Berapa umurmu?,umur_bot
Ada promo apa hari ini?,promo
Rekomendasikan buku untuk saya,hiburan
Definisikan 'teknologi',kamus
Kamu siapa?,siapa_anda
Dadah,salam_perpisahan
Definisikan 'teknologi',kamus
Berapa tahun kamu sudah ada?,umur_bot
Bagaimana cara memperbaiki ini?,bantuan_teknis
Kamu tinggal di mana?,lokasi_bot
Apa kabar?,sapaan
Apa arti kata ini?,kamus
Cari sinonim dari 'cepat',kamus
Bagaimana cara menggunakannya?,tutorial_produk
Ada panduan untuk produk ini?,tutorial_produk
Apa pekerjaanmu?,pekerjaan_bot
Apa kamu punya nama?,siapa_anda
Siapa nama kamu?,siapa_anda
Aplikasi ini tidak berfungsi,bantuan_teknis
Sejak kapan kamu aktif?,umur_bot
Apa kamu bisa membantu saya?,bantuan
Bagaimana cara kerja kamu?,fungsi_bot
Apa itu machine learning?,informasi_teknologi
Kamu tahu cara menggambar?,kemampuan_bot
Apakah hari ini akan hujan?,informasi_cuaca
Promo apa yang berlaku sekarang?,promo
Berita apa yang sedang trending?,informasi_berita
